emotion,distance
1, 442 478 178 419 181 266 401 136 241 255 224 213 311 356 334 411 340 514 449 508 389 396 547 461
1, 464 495 174 442 170 254 415 140 236 235 229 201 295 332 335 421 338 520 463 543 407 410 571 475
1, 444 500 175 414 169 262 399 136 245 250 235 202 306 349 336 434 351 514 476 542 420 420 564 475
1, 442 460 176 418 172 263 395 132 259 266 240 212 319 365 339 432 347 518 491 563 427 421 588 469
1, 417 463 189 400 178 252 403 157 249 268 236 214 315 360 323 411 329 513 472 552 413 409 578 448
1, 459 499 166 430 155 253 402 123 240 261 220 201 316 362 340 419 345 510 468 520 411 409 548 470
1, 447 476 172 418 163 258 400 138 246 266 230 202 315 362 331 428 354 509 477 520 420 414 543 463
1, 437 485 165 422 147 242 408 118 241 261 225 205 314 360 338 407 334 495 462 510 406 398 535 456
1, 438 489 172 418 159 241 410 137 246 269 227 197 319 363 335 412 333 506 473 547 418 414 570 462
1, 426 489 184 408 175 245 401 157 243 258 227 208 308 353 321 420 330 523 482 569 417 421 603 464
1, 443 471 187 421 181 255 410 150 256 272 237 209 322 366 336 420 335 514 479 548 420 417 583 466
1, 432 497 200 410 184 260 402 160 271 288 251 226 335 379 346 411 337 509 472 538 416 409 566 455
1, 440 463 165 418 144 238 403 121 239 260 228 202 308 358 321 427 340 503 482 548 425 416 572 456
1, 415 460 169 402 153 234 405 134 238 251 225 198 302 341 324 407 321 505 469 550 413 410 570 449
1, 419 491 179 400 164 243 395 142 244 263 228 205 314 366 324 420 331 533 484 578 421 418 612 473
1, 418 484 173 399 158 243 401 141 238 269 219 206 316 367 324 414 329 513 484 567 418 414 594 462
1, 434 481 194 416 178 241 411 156 261 264 238 216 315 354 335 412 325 522 477 555 413 416 584 458
1, 434 497 167 416 155 249 408 125 247 255 230 197 311 351 340 424 340 513 481 551 416 415 577 465
1, 410 452 198 406 170 238 416 166 266 301 242 230 344 395 338 397 316 513 471 562 406 403 593 453
1, 440 484 164 421 152 248 409 132 244 269 227 194 317 365 330 426 336 506 492 558 428 415 582 464
1, 434 473 169 419 154 240 406 127 251 254 232 197 309 346 338 420 333 504 468 535 411 412 557 460
1, 424 456 162 412 149 243 405 120 239 255 229 197 309 350 331 422 334 491 480 549 424 413 565 450
1, 431 476 176 408 170 262 400 141 247 262 235 204 309 356 328 425 345 513 476 547 419 414 574 468
1, 408 483 181 401 158 232 406 144 251 262 237 211 315 356 332 408 314 503 490 576 422 419 598 456
1, 449 507 188 420 186 271 410 152 244 256 235 218 305 350 329 424 346 508 466 542 412 411 563 462
1, 461 488 190 437 193 279 414 153 245 251 240 222 306 342 343 423 355 507 458 512 411 411 534 463
1, 430 469 183 415 176 263 406 144 245 263 228 218 314 359 334 418 344 506 472 544 418 416 570 464
1, 402 457 171 390 164 242 386 137 233 248 218 209 299 343 320 423 339 504 477 553 417 421 576 461
1, 417 495 185 405 179 257 411 150 245 262 228 224 314 360 333 407 330 497 466 533 407 406 556 451
1, 469 491 170 436 153 254 406 130 254 281 227 203 331 378 345 420 354 509 472 511 415 412 541 469
1, 415 501 174 395 162 249 399 140 236 259 225 204 307 354 321 418 333 515 480 562 421 416 584 463
1, 429 516 183 405 175 247 398 156 246 262 230 207 311 354 325 411 326 510 474 547 411 413 573 452
1, 445 464 187 426 186 269 412 145 246 253 240 220 304 342 339 389 364 494 415 454 378 377 487 441
1, 430 466 176 410 163 252 403 138 243 272 229 215 321 376 332 408 333 497 462 534 406 407 572 453
1, 439 475 183 422 180 269 408 139 240 236 241 219 288 317 331 418 355 500 448 491 404 404 508 453
1, 429 481 168 408 161 247 401 135 241 257 223 195 307 351 326 411 334 512 472 543 410 407 571 460
1, 428 470 187 405 189 259 390 153 238 250 227 211 301 346 320 389 324 520 455 547 394 399 580 467
1, 437 518 179 410 178 269 401 128 244 259 234 231 314 362 343 414 348 512 468 524 403 409 557 472
1, 485 501 161 452 171 277 417 125 239 246 221 192 304 341 345 438 369 499 461 495 406 405 507 471
1, 427 476 188 422 179 251 416 153 255 266 236 212 315 356 330 397 327 504 463 526 404 406 550 440
1, 433 483 176 415 163 249 403 136 248 263 233 206 315 357 335 437 344 513 479 551 421 423 574 459
1, 436 469 174 415 166 251 402 134 238 256 229 207 306 350 328 419 340 512 468 536 414 415 558 457
1, 430 463 182 412 174 246 399 150 247 258 224 203 310 351 325 411 325 513 468 548 401 406 579 455
1, 442 467 171 416 153 227 398 137 239 259 214 198 311 360 324 388 312 533 469 561 402 401 599 467
1, 414 452 191 406 178 246 402 159 248 263 234 216 311 355 322 403 318 517 472 548 410 408 579 447
1, 429 472 187 417 171 238 411 151 249 252 232 212 308 343 334 408 323 513 484 562 417 418 583 457
1, 433 486 170 411 149 235 404 137 252 270 229 199 321 366 337 419 332 511 474 543 410 404 572 458
1, 449 479 171 418 169 263 402 133 232 259 218 215 307 360 327 415 348 519 461 510 404 397 541 462
1, 434 456 168 404 148 244 386 131 234 263 219 201 305 355 318 408 341 499 464 503 407 400 537 454
1, 431 458 173 414 145 221 402 130 241 258 223 214 309 353 326 409 316 496 462 546 399 403 577 445
1, 422 486 176 399 162 264 389 116 250 246 243 217 303 343 339 443 368 507 480 523 422 418 545 466
1, 375 498 198 366 188 248 392 173 247 262 230 221 300 341 309 404 317 529 451 527 399 401 547 429
1, 456 478 177 426 176 264 400 144 246 267 226 204 318 367 333 436 351 519 479 547 420 417 577 470
1, 402 425 196 390 179 233 384 168 251 274 237 218 312 357 321 389 306 489 441 533 379 383 569 437
1, 434 471 172 413 152 233 399 133 238 255 222 200 306 349 323 409 320 515 470 532 409 408 559 449
1, 420 461 172 408 156 227 395 143 242 255 226 198 310 350 327 398 307 515 477 571 408 409 598 454
1, 433 466 169 417 138 225 406 124 250 272 230 202 322 368 335 412 322 503 481 549 417 410 578 452
1, 428 471 185 413 178 255 402 146 249 262 229 209 313 357 326 406 325 508 470 552 408 406 584 460
1, 435 479 179 419 170 261 407 139 244 259 229 208 312 354 337 429 347 503 479 545 419 419 570 469
1, 446 469 179 424 172 259 407 144 245 267 228 204 319 365 336 411 333 512 473 547 415 414 581 464
1, 459 493 181 442 189 288 426 128 249 250 236 227 308 347 348 434 377 495 451 488 406 412 507 465
1, 443 495 184 424 182 261 415 153 253 262 234 205 314 355 337 420 337 501 473 541 414 413 562 457
1, 464 522 177 432 175 273 409 140 255 275 236 205 326 375 347 430 366 514 469 512 414 407 541 470
1, 422 476 178 402 171 250 394 144 241 256 225 203 308 350 322 403 326 534 476 588 412 414 613 470
1, 409 455 180 402 165 233 400 155 244 266 225 207 316 364 321 394 309 515 473 574 404 405 609 456
1, 415 462 182 404 166 244 403 145 243 263 227 212 310 357 317 425 332 519 479 578 423 420 602 461
1, 451 493 181 420 185 271 397 145 239 253 225 209 308 353 335 428 348 521 465 530 406 407 562 470
1, 411 455 194 405 175 235 401 166 248 266 235 218 313 356 322 399 310 509 479 571 411 411 600 443
1, 432 472 194 419 182 252 410 158 255 262 237 217 315 353 335 399 320 503 479 561 411 413 591 455
1, 443 478 186 417 178 259 396 145 246 261 234 232 315 363 329 433 341 543 494 585 430 437 614 475
1, 448 489 180 430 180 271 415 145 236 248 228 214 303 345 333 427 355 500 459 512 405 410 536 458
1, 409 449 195 409 180 238 408 163 256 264 236 213 315 350 334 377 302 493 468 549 394 392 574 445
1, 422 463 175 408 156 241 403 131 239 253 224 207 306 351 323 418 329 507 477 559 419 419 584 460
1, 425 507 180 407 176 255 411 143 242 250 220 209 307 348 331 412 330 515 483 553 412 415 573 464
1, 418 468 166 402 149 243 404 125 240 265 226 202 316 364 328 425 333 511 483 548 420 413 573 457
1, 415 476 188 413 163 216 413 154 259 273 232 207 326 368 336 386 294 500 472 569 399 398 600 447
1, 462 483 182 434 190 284 408 141 246 246 234 212 305 341 339 437 362 503 474 534 412 420 549 470
1, 445 488 176 415 175 260 391 134 237 254 225 205 300 347 317 408 336 521 459 527 408 403 551 462
1, 418 486 176 404 161 245 407 134 244 262 231 218 317 365 333 414 328 504 478 558 415 418 584 455
1, 435 489 165 416 141 229 398 118 243 248 225 197 305 342 337 421 329 510 469 530 411 406 551 455
1, 438 486 175 413 168 262 404 134 244 259 232 212 310 354 331 440 352 514 491 554 424 419 573 471
1, 405 500 184 397 174 252 407 157 235 259 221 207 300 345 308 419 328 491 466 550 410 414 573 445
1, 463 506 171 427 167 267 387 116 243 245 230 221 305 345 345 428 369 496 450 511 396 406 534 473
1, 436 473 183 418 180 267 403 141 246 256 237 214 308 348 335 417 345 499 464 524 412 411 550 459
1, 445 479 163 425 139 232 404 114 246 250 224 196 307 344 338 395 323 503 458 529 400 398 555 455
1, 446 486 166 425 152 242 403 115 239 257 225 211 314 362 335 419 334 521 476 559 415 414 594 469
1, 435 478 174 411 166 256 393 131 232 235 229 206 290 329 323 424 347 505 475 538 415 419 560 463
1, 392 515 181 373 173 249 395 144 230 244 224 217 289 335 303 413 334 512 466 536 406 411 556 440
1, 442 468 220 424 209 263 411 190 263 279 259 245 322 357 338 415 334 509 465 541 407 414 571 456
1, 423 468 181 412 168 255 405 139 248 269 230 218 319 367 330 423 337 512 492 577 428 426 602 466
1, 471 487 190 445 193 286 419 145 254 252 250 226 309 341 355 433 374 492 456 488 407 409 507 469
1, 450 495 175 427 170 262 411 134 241 258 226 208 312 357 335 420 346 500 462 509 403 403 538 458
1, 430 460 176 414 169 254 402 139 244 252 232 203 304 342 330 408 333 504 469 537 412 412 560 459
1, 427 468 197 414 192 263 405 167 252 262 242 227 311 352 329 415 338 499 471 555 419 419 575 451
1, 425 451 206 413 187 246 407 178 258 286 248 234 320 367 320 417 327 500 462 534 409 407 565 436
1, 450 475 186 426 189 268 405 149 253 267 234 203 317 360 335 412 339 503 460 523 402 405 550 458
1, 433 465 174 411 161 248 400 139 243 277 227 208 324 379 328 407 330 501 461 540 407 405 577 456
1, 446 473 170 418 168 264 394 135 235 244 229 197 300 339 332 418 350 496 458 511 407 408 532 463
1, 406 484 192 396 176 249 404 152 262 277 243 219 325 371 335 418 333 512 478 542 416 414 569 452
1, 433 470 182 412 173 253 398 146 248 262 229 209 316 359 334 421 335 519 488 569 420 418 598 468
1, 441 483 175 420 162 246 405 137 255 266 236 202 321 364 344 415 335 506 475 536 419 413 565 462
1, 435 470 182 415 195 286 400 143 241 248 237 210 299 341 329 446 370 490 474 509 422 419 524 460
1, 431 500 175 414 166 257 409 135 233 245 227 216 301 345 331 431 354 510 480 558 416 419 579 469
1, 474 491 166 451 161 262 427 128 238 245 230 198 302 336 337 447 358 488 477 526 424 425 533 465
1, 428 493 169 405 161 262 399 125 242 254 229 201 307 349 338 436 355 516 474 536 416 412 558 469
1, 428 540 180 404 174 261 405 131 251 270 232 226 321 366 338 417 346 504 459 505 402 407 531 452
1, 446 472 173 420 177 270 402 137 241 255 230 204 305 350 327 445 362 505 474 522 420 421 542 463
1, 462 487 182 434 193 289 411 141 244 255 234 219 308 354 339 453 381 507 477 521 423 422 544 477
1, 467 490 186 437 198 288 408 146 257 258 240 213 311 351 345 434 368 505 472 513 418 419 534 470
1, 443 494 169 422 159 248 405 128 243 265 223 200 314 360 329 412 336 503 470 538 417 411 561 455
1, 447 477 185 421 180 257 396 150 243 252 231 212 307 349 332 424 336 521 474 560 412 415 592 467
1, 426 497 193 406 181 255 397 153 250 258 238 230 308 351 327 412 332 510 470 540 412 414 561 453
1, 399 493 194 390 188 253 395 164 248 257 230 218 304 345 316 410 329 505 467 543 407 408 564 444
1, 417 449 171 406 149 229 403 126 243 264 224 212 313 356 327 401 320 496 449 528 395 396 564 446
1, 473 505 178 439 174 264 405 125 246 254 234 224 314 364 341 420 347 529 478 540 412 414 577 479
1, 437 470 177 419 163 240 407 138 240 255 219 201 309 347 336 426 334 501 475 544 409 418 571 462
1, 400 457 182 399 156 226 404 149 249 270 237 210 316 362 319 395 305 508 470 551 410 406 585 441
1, 413 462 185 405 170 240 405 149 252 268 228 210 318 362 328 402 317 513 479 571 415 413 598 460
1, 420 462 175 417 143 211 417 140 242 261 227 206 311 354 321 403 305 488 477 567 413 412 593 446
1, 467 512 174 432 182 276 408 136 246 262 230 201 313 361 340 432 366 512 463 503 411 407 532 473
1, 415 487 178 401 158 229 399 148 243 267 221 200 318 365 327 399 312 519 456 531 393 394 568 446
1, 401 427 166 392 128 208 391 118 241 261 230 202 309 359 314 399 305 496 478 556 415 408 588 442
1, 414 462 190 402 178 240 401 158 248 259 228 214 310 352 326 404 312 515 467 575 407 411 597 451
1, 437 477 176 420 163 232 395 139 240 252 222 196 307 351 326 386 304 523 472 563 403 401 604 464
1, 441 469 177 419 183 276 405 143 237 250 228 206 302 345 331 431 354 494 475 516 412 410 539 463
1, 433 510 180 412 161 249 407 128 251 259 233 229 312 354 334 424 338 516 487 565 425 429 580 463
1, 444 475 190 422 184 262 402 152 247 252 238 220 306 342 336 404 334 510 465 536 406 407 557 454
1, 429 483 169 411 153 258 408 128 239 268 228 211 312 364 328 424 352 497 474 503 416 412 525 454
1, 399 463 179 392 160 225 400 149 246 265 221 203 313 356 319 391 303 508 465 547 404 401 576 439
1, 405 509 182 383 168 251 387 149 233 252 228 211 294 337 307 415 327 502 477 551 419 413 564 440
1, 427 494 175 407 158 237 399 139 241 257 227 204 310 354 329 397 316 519 463 552 404 406 587 455
1, 438 507 173 415 166 258 403 132 250 264 232 195 317 362 339 399 339 512 458 516 410 405 545 461
1, 423 481 200 414 192 264 410 165 261 279 245 234 330 378 343 403 333 493 462 531 406 406 562 449
1, 450 495 195 422 198 288 401 145 255 251 255 231 305 348 341 424 370 503 465 487 416 412 513 464
1, 426 483 180 396 184 271 381 142 238 245 233 207 298 341 326 431 357 502 469 509 413 411 533 459
1, 427 470 166 410 143 232 398 121 240 258 228 202 309 356 325 427 334 512 478 553 419 416 582 456
1, 443 490 169 422 155 246 402 130 235 252 220 203 301 341 323 402 336 496 461 498 407 399 521 447
1, 455 479 172 434 169 262 418 130 231 240 226 205 294 332 326 430 350 491 470 525 415 418 540 464
1, 415 456 184 410 172 254 407 147 248 267 230 215 317 362 332 423 335 511 491 547 424 415 578 458
