emotion,distance
4, 89 101 34 85 33 53 85 24 48 52 45 43 62 72 67 82 70 100 94 104 83 81 109 93
4, 80 92 35 77 33 49 78 29 47 52 44 42 61 71 63 82 65 103 95 115 83 81 120 92
4, 85 92 31 81 28 46 78 23 48 50 44 38 60 67 66 85 66 99 98 111 86 84 114 92
4, 83 99 36 80 32 47 80 28 47 50 45 46 60 68 64 82 66 98 95 110 82 83 114 88
4, 83 98 31 78 27 45 78 24 47 53 44 38 63 73 64 83 64 104 99 115 86 83 120 93
4, 75 96 34 73 31 45 79 27 47 52 43 39 60 70 61 81 63 103 95 114 83 81 117 88
4, 80 97 33 75 30 46 77 26 47 53 43 39 61 71 62 83 64 103 96 113 84 82 118 90
4, 79 93 34 76 31 47 78 28 47 53 45 39 61 72 63 83 64 103 96 113 85 83 118 91
4, 80 99 35 74 32 48 77 28 46 52 43 41 60 71 61 82 64 103 95 113 82 82 118 91
4, 81 97 33 77 29 45 79 26 47 54 43 39 62 72 62 83 63 104 97 114 85 82 119 90
4, 80 95 32 78 26 43 80 24 46 53 43 40 61 71 61 81 62 102 96 112 84 82 115 89
4, 93 98 31 86 33 51 79 20 47 48 43 42 60 67 68 83 70 99 88 97 77 78 101 90
4, 79 88 40 80 34 41 81 35 52 56 45 41 65 72 66 69 57 97 93 100 76 74 106 83
4, 84 91 32 81 28 45 80 23 47 49 43 40 60 68 64 81 64 98 92 105 80 80 110 89
4, 85 93 31 82 26 43 79 24 46 52 44 37 61 70 65 82 62 100 95 110 83 81 115 90
4, 83 98 34 81 33 50 82 26 48 49 44 41 60 67 66 83 66 103 95 109 83 83 112 91
4, 80 89 33 77 27 38 74 26 43 43 42 38 53 60 56 81 59 97 89 107 77 80 110 82
4, 82 99 33 77 32 50 78 26 45 48 44 41 58 68 62 81 66 101 94 109 82 81 113 91
4, 86 92 32 83 29 47 80 25 47 50 45 38 60 68 64 84 66 99 94 107 83 81 110 90
4, 88 96 33 82 30 46 79 26 47 52 44 38 62 71 65 82 64 103 96 112 84 82 118 91
4, 87 94 36 84 33 47 80 30 49 54 44 46 64 74 67 80 62 100 93 109 78 81 115 89
4, 86 94 35 81 36 52 79 28 49 51 46 40 61 70 67 84 68 99 93 105 83 83 110 92
4, 92 96 33 87 32 50 81 25 48 48 45 40 60 64 69 86 70 97 92 100 80 82 102 90
4, 89 99 35 83 32 50 78 27 48 52 45 40 62 70 67 85 69 103 95 110 84 84 114 93
4, 86 92 37 83 34 49 80 29 49 52 46 42 63 71 67 83 66 99 94 106 82 81 111 90
4, 86 97 34 83 30 45 80 26 49 51 45 40 63 71 68 78 62 102 93 105 80 81 111 90
4, 86 93 33 82 31 48 79 25 48 51 44 39 61 70 66 87 68 99 94 109 83 83 113 91
4, 81 94 34 77 30 47 79 27 47 52 43 39 61 70 63 83 65 101 95 111 84 83 114 89
4, 87 94 34 84 29 47 80 25 46 50 44 40 59 67 63 83 66 100 93 107 80 82 111 91
4, 85 102 36 80 33 48 79 29 50 52 45 44 62 71 65 80 65 103 91 106 80 80 110 90
4, 93 97 30 89 27 45 83 19 43 44 43 39 57 64 66 75 61 98 89 98 77 76 104 88
4, 76 78 67 72 66 71 66 66 64 57 68 68 59 61 66 94 81 90 96 106 90 91 103 87
4, 81 98 30 77 25 44 78 22 47 53 44 39 62 73 63 82 64 101 95 115 83 82 119 90
4, 88 94 34 84 32 50 79 25 47 48 43 40 59 66 66 86 68 101 94 107 82 83 111 92
4, 86 102 34 81 30 49 80 27 49 55 45 41 63 73 66 81 68 100 93 105 81 81 109 91
4, 88 94 29 84 25 44 81 21 47 51 44 37 62 71 66 82 65 101 96 109 84 81 113 91
4, 437 474 170 416 154 240 402 135 244 256 227 201 306 343 333 423 334 514 477 546 419 416 566 463
4, 456 492 166 432 156 247 413 128 243 265 227 201 317 362 340 423 341 506 479 539 418 413 563 462
4, 464 492 174 435 180 274 409 138 248 261 232 204 314 359 341 428 360 506 472 503 415 411 526 466
4, 434 465 184 419 176 252 405 152 247 251 240 212 304 342 332 416 335 505 473 529 412 409 552 450
4, 436 474 168 418 143 234 402 129 249 268 228 202 319 365 334 417 329 510 481 552 420 412 580 462
4, 444 486 184 432 175 256 411 137 250 252 234 227 313 352 346 425 343 509 476 548 416 426 577 469
4, 437 524 181 400 186 273 398 144 246 265 230 213 312 362 331 412 350 506 467 512 411 406 536 462
4, 445 475 169 426 155 244 410 131 246 249 226 198 302 334 334 438 344 500 476 540 416 417 552 458
4, 422 495 177 406 159 241 408 135 246 258 232 211 311 359 328 406 325 517 470 535 408 406 566 450
4, 475 503 190 439 204 292 396 145 253 247 240 222 306 344 347 424 368 514 460 513 406 405 539 480
4, 391 475 202 388 189 242 401 172 249 263 236 236 306 354 310 420 323 510 482 574 415 416 596 442
4, 456 490 187 430 182 267 407 138 243 246 238 214 304 345 334 415 341 511 459 511 398 406 538 456
4, 421 467 173 415 161 237 410 140 250 253 229 201 306 340 330 420 330 502 488 558 423 418 568 457
4, 438 481 174 423 164 247 414 134 250 262 234 201 314 355 337 431 343 494 481 540 421 416 558 456
4, 451 501 161 426 154 255 405 111 242 252 218 212 311 348 348 421 344 498 468 513 408 416 533 465
4, 79 98 33 77 27 43 80 25 47 53 43 41 61 72 61 82 65 99 93 110 82 81 114 88
4, 86 100 36 81 34 51 79 29 48 52 45 41 62 71 65 82 66 103 93 106 80 81 113 91
4, 86 95 34 82 31 48 81 27 48 52 45 40 62 71 66 81 64 97 94 107 82 81 110 88
4, 88 95 34 82 33 51 78 26 47 48 45 41 58 67 64 86 70 100 92 105 81 82 109 93
4, 86 95 35 81 36 51 78 28 46 47 44 41 58 65 63 80 64 101 90 108 79 79 112 90
4, 84 91 35 81 33 49 80 25 50 52 47 42 62 71 67 82 65 98 94 107 81 81 112 90
4, 76 96 38 74 37 51 78 31 47 47 48 46 57 66 60 87 68 101 101 116 88 86 118 91
4, 88 95 35 84 33 49 81 27 50 50 47 41 61 69 67 86 68 101 94 106 83 83 111 91
4, 77 92 39 75 35 48 81 33 51 59 46 44 65 76 63 73 59 99 87 102 76 76 109 83
4, 80 89 34 79 31 45 79 28 49 50 46 39 61 68 65 79 62 99 92 108 80 79 113 88
4, 80 98 34 76 32 49 77 27 45 50 45 41 58 68 60 82 66 99 93 106 82 82 111 88
4, 80 99 35 76 33 48 80 28 49 53 45 42 62 71 63 75 63 99 88 98 77 76 103 86
4, 90 97 40 87 35 47 85 35 55 59 49 43 70 76 72 74 60 98 86 98 74 73 105 89
4, 79 103 35 75 31 46 77 29 45 52 43 42 59 69 60 79 62 103 92 109 80 79 112 88
4, 89 96 35 84 33 50 78 27 47 50 44 41 61 71 66 83 67 103 93 110 83 82 117 94
4, 80 102 34 76 29 46 80 25 46 50 44 42 60 69 62 83 65 103 97 112 83 85 115 90
4, 85 92 33 82 29 46 80 24 47 51 44 38 61 70 65 84 65 101 94 112 82 82 116 91
4, 86 93 33 82 29 46 80 24 47 51 44 38 60 69 65 84 65 101 94 111 82 82 115 92
4, 79 88 35 78 31 47 78 27 48 49 46 41 59 65 64 86 66 99 94 106 82 83 110 89
4, 83 100 33 78 29 45 79 27 47 52 44 39 61 71 62 83 63 103 94 114 83 82 117 90
4, 84 89 33 81 30 46 79 25 47 50 43 37 60 67 63 81 63 98 92 105 81 81 109 87
4, 89 94 32 84 30 48 80 23 49 49 45 36 61 68 66 84 65 99 94 109 83 81 112 92
4, 92 99 37 86 38 54 78 27 51 51 47 45 63 71 70 82 68 103 93 106 83 82 112 94
4, 87 94 34 83 30 45 79 27 49 50 45 39 61 70 65 79 62 106 94 113 81 81 118 90
4, 91 102 32 83 29 48 77 21 46 49 43 42 61 70 65 84 67 104 96 112 83 84 118 95
4, 74 102 34 75 30 45 82 28 47 51 44 39 60 69 61 78 62 101 92 108 81 80 112 86
4, 84 93 38 84 35 45 83 33 51 55 46 43 65 74 67 76 61 99 92 106 77 78 113 87
4, 88 94 32 85 27 45 81 23 50 52 45 38 61 69 65 83 66 101 96 110 84 83 114 92
4, 88 94 34 84 33 50 80 25 47 49 45 45 60 68 66 82 66 98 91 105 80 81 108 90
4, 93 97 34 85 33 49 79 26 45 48 44 41 59 68 64 84 67 101 91 103 79 79 112 91
4, 87 94 37 82 35 48 77 29 48 46 46 44 58 65 64 74 62 96 89 102 76 77 106 87
4, 83 90 34 81 29 43 79 28 48 51 43 39 61 69 63 77 59 99 93 111 80 80 116 88
4, 87 96 34 83 33 50 79 25 47 48 44 43 59 67 67 82 67 99 93 105 82 82 111 90
4, 88 93 34 83 31 48 80 25 50 53 45 44 63 72 66 80 65 99 92 104 80 80 109 89
4, 89 100 35 84 31 47 81 30 51 57 44 42 66 76 68 68 62 95 83 90 74 72 99 87
4, 96 98 31 88 29 50 81 22 48 51 46 39 61 70 67 83 67 98 94 103 83 81 107 93
4, 77 90 36 74 32 47 76 30 48 52 46 42 62 71 63 77 62 102 91 109 79 78 114 87
4, 85 91 33 80 31 48 77 26 46 52 44 39 61 70 64 86 66 102 94 111 82 82 116 91
4, 89 99 33 85 33 51 83 25 46 48 45 39 59 67 64 84 67 101 93 106 81 82 109 90
4, 88 94 33 84 30 48 82 25 49 52 45 39 63 72 67 83 66 101 95 107 82 81 111 91
4, 75 96 36 73 35 51 78 29 46 49 45 43 59 70 61 80 65 99 91 107 80 81 114 87
4, 85 92 31 81 27 47 77 21 46 50 42 39 61 70 63 82 64 100 93 109 80 81 115 90
4, 84 98 35 79 31 48 78 26 46 49 44 44 59 68 63 87 68 103 95 110 82 83 116 92
4, 90 94 33 85 31 49 81 21 48 46 44 42 58 65 67 81 67 99 91 97 79 81 101 90
4, 81 102 34 77 33 49 80 27 46 51 43 42 61 72 63 79 65 101 92 107 80 80 114 89
4, 80 90 35 78 31 45 78 28 49 52 45 40 61 70 62 82 63 101 94 112 83 82 116 88
4, 87 92 32 83 29 47 80 25 48 52 45 39 63 71 67 84 67 99 94 108 82 82 114 91
4, 76 82 39 73 37 49 71 32 47 50 46 44 57 66 59 78 64 94 88 101 78 78 105 84
4, 92 96 35 87 33 53 82 23 48 48 46 43 59 66 69 87 73 95 91 96 80 82 98 92
4, 87 103 32 82 27 45 79 26 48 53 43 39 63 73 65 83 65 101 97 112 84 83 116 92
4, 78 89 37 76 33 46 77 30 49 51 46 41 61 70 62 78 62 101 89 106 79 78 111 85
4, 81 97 35 76 33 48 78 27 47 52 43 40 61 70 62 83 65 104 96 113 82 83 118 91
4, 93 98 33 87 33 54 81 24 48 50 45 40 60 68 68 87 73 100 94 98 82 81 101 95
4, 71 85 36 68 33 47 73 32 47 55 44 41 61 73 60 74 61 96 89 103 76 76 110 85
4, 88 103 35 82 36 54 80 26 48 48 46 42 61 68 69 78 66 100 88 98 77 77 105 92
4, 79 92 34 78 30 44 78 28 49 52 45 39 62 70 64 80 60 99 93 108 80 80 112 87
4, 83 94 34 80 33 49 80 28 47 50 44 39 61 68 64 85 66 101 95 110 83 83 114 90
4, 89 96 32 84 31 49 80 25 48 50 44 37 61 69 66 84 67 101 94 105 82 82 110 92
4, 85 106 33 79 31 48 77 25 45 50 43 40 59 69 63 83 66 101 93 109 80 83 113 91
4, 73 99 37 71 34 48 78 31 47 51 44 42 59 69 60 83 66 101 95 112 83 83 115 87
4, 89 90 33 81 33 53 73 25 45 47 44 38 57 66 64 86 69 97 93 105 81 82 109 91
4, 90 95 34 86 32 49 80 26 49 49 45 38 62 67 70 79 66 99 86 94 77 75 99 89
4, 77 97 36 74 32 46 78 30 49 55 43 43 63 73 62 75 60 96 87 101 76 76 107 84
4, 83 101 34 77 31 48 79 26 48 54 43 42 63 73 64 82 66 104 97 112 84 83 116 94
4, 90 96 33 87 31 50 83 26 50 50 47 41 62 68 70 78 66 97 88 94 77 78 97 89
4, 76 91 35 73 31 43 75 28 45 49 44 41 58 68 59 80 61 100 93 110 80 81 115 86
4, 88 93 34 83 31 49 79 24 47 48 45 41 60 68 67 83 67 99 91 103 80 80 107 90
4, 77 93 35 79 33 47 83 28 46 49 44 40 58 65 63 82 65 97 93 106 82 82 107 85
4, 92 97 32 87 31 53 83 23 48 52 46 40 62 71 68 85 71 99 92 99 81 80 103 93
4, 85 101 33 80 32 49 78 25 48 51 45 38 60 69 65 86 68 101 95 109 83 83 113 92
4, 87 94 34 83 34 52 79 27 48 50 45 40 60 68 65 85 68 101 95 106 83 83 111 93
4, 84 99 33 80 29 45 77 25 48 51 45 40 61 71 65 84 65 101 96 113 84 81 116 92
4, 85 98 33 81 28 47 80 24 46 52 43 40 61 70 63 83 66 100 95 107 82 82 111 89
4, 90 96 34 83 34 51 78 27 48 50 45 39 60 69 65 80 66 102 91 102 80 79 109 91
4, 93 98 35 89 37 54 83 28 50 49 47 41 62 66 72 82 70 99 90 98 79 79 102 92
4, 89 100 34 83 34 50 79 27 49 50 44 39 61 69 67 78 64 102 93 106 80 80 112 92
4, 89 94 34 84 32 49 79 25 47 51 44 40 61 70 65 83 66 101 95 110 82 82 116 93
4, 89 94 33 85 31 51 81 21 49 50 45 40 61 68 68 87 70 99 93 105 81 82 108 92
4, 88 94 32 84 31 50 79 24 47 50 44 39 60 68 65 86 68 101 93 107 83 83 112 93
4, 92 99 29 85 27 49 78 22 46 52 41 37 61 71 65 82 70 102 89 102 80 79 108 93
4, 87 100 34 80 33 52 78 25 47 52 44 40 62 72 65 85 69 104 96 109 84 82 114 94
4, 81 94 34 76 31 46 74 27 45 49 43 40 58 68 61 79 62 104 94 114 80 81 120 91
4, 87 104 45 84 42 52 83 39 60 63 53 51 72 79 74 80 67 101 93 102 81 81 109 92
4, 88 96 34 84 32 48 80 26 46 47 42 42 58 66 64 82 64 102 89 105 79 81 110 91
4, 94 97 35 88 37 56 82 26 47 48 46 43 59 67 67 91 77 98 92 99 82 83 101 94
